threshold,aep,ari,longitude,latitude,hit
0.1000000000,0.0000000559,17894529.6422883533,30.0979800000,0.9622302158,1
0.1000000000,0.0000001397,7157811.8569153408,30.1428900000,0.9622302158,1
0.1000000000,0.0000001118,8947264.8211441766,30.1878100000,0.9622302158,1
0.1000000000,0.0000002235,4473632.4105720883,30.2327300000,0.9622302158,1
0.1000000000,0.0000001956,5112722.7549395291,30.2776400000,0.9622302158,1
0.1000000000,0.0000001956,5112722.7549395291,30.3225600000,0.9622302158,1
0.1000000000,0.0000001118,8947264.8211441766,30.3674700000,0.9622302158,1
0.1000000000,0.0000001118,8947264.8211441766,30.4123900000,0.9622302158,1
0.1000000000,0.0000000838,11929686.4281922355,30.4573000000,0.9622302158,1
0.1000000000,0.0000000838,11929686.4281922355,30.5022200000,0.9622302158,1
0.1000000000,0.0000001118,8947264.8211441766,30.5471400000,0.9622302158,1
0.1000000000,0.0000001118,8947264.8211441766,30.5920500000,0.9622302158,1
0.1000000000,0.0000000838,11929686.4281922355,30.6369700000,0.9622302158,1
0.1000000000,0.0000000279,35789059.2845767066,30.6818800000,0.9622302158,1
0.1000000000,0.0000000279,35789059.2845767066,30.1878100000,1.0071942446,1
0.1000000000,0.0000000279,35789059.2845767066,30.2327300000,1.0071942446,1
0.1000000000,0.0000000559,17894529.6422883533,30.2776400000,1.0071942446,1
0.1000000000,0.0000000279,35789059.2845767066,30.3225600000,1.0071942446,1
0.1000000000,0.0000000279,35789059.2845767066,30.5920500000,1.0071942446,1
0.1000000000,0.0000000279,35789059.2845767066,30.6369700000,1.0071942446,1
1.0000000000,0.0000003004,3328382.5130129787,30.2327300000,0.6474820144,1
1.0000000000,0.0000004206,2377416.0809496404,30.2776400000,0.6474820144,1
1.0000000000,0.0000001202,8320956.2853019796,30.3225600000,0.6474820144,1
1.0000000000,0.0000006009,1664191.2567834426,30.1428900000,0.6924460432,1
1.0000000000,0.0000030345,329542.8231205473,30.1878100000,0.6924460432,1
1.0000000000,0.0000068201,146624.7803287207,30.2327300000,0.6924460432,1
1.0000000000,0.0000051977,192392.0528004867,30.2776400000,0.6924460432,1
1.0000000000,0.0000023134,432257.4692822557,30.3225600000,0.6924460432,1
1.0000000000,0.0000005408,1849101.3963918558,30.3674700000,0.6924460432,1
1.0000000000,0.0000001202,8320956.2853019796,30.4123900000,0.6924460432,1
1.0000000000,0.0000000601,16641912.5706039593,30.0979800000,0.7374100719,1
1.0000000000,0.0000015924,627996.7006394750,30.1428900000,0.7374100719,1
1.0000000000,0.0000083224,120158.2134823431,30.1878100000,0.7374100719,1
1.0000000000,0.0000264092,37865.5576049116,30.2327300000,0.7374100719,1
1.0000000000,0.0000136703,73151.2640324304,30.2776400000,0.7374100719,1
1.0000000000,0.0000043264,231137.6745436395,30.3225600000,0.7374100719,1
1.0000000000,0.0000012018,832095.6283917213,30.3674700000,0.7374100719,1
1.0000000000,0.0000001803,5547304.1902013198,30.4123900000,0.7374100719,1
1.0000000000,0.0000003004,3328382.5130129787,30.1428900000,0.7823741007,1
1.0000000000,0.0000024637,405900.3065177190,30.1878100000,0.7823741007,1
1.0000000000,0.0000042062,237741.6081062683,30.2327300000,0.7823741007,1
1.0000000000,0.0000031847,313998.3503295970,30.2776400000,0.7823741007,1
1.0000000000,0.0000012619,792472.0270460147,30.3225600000,0.7823741007,1
1.0000000000,0.0000003906,2560294.2413036227,30.3674700000,0.7823741007,1
1.0000000000,0.0000000300,33283825.0858172625,30.4123900000,0.7823741007,1
1.0000000000,0.0000000601,16641912.5706039593,30.1878100000,0.8273381295,1
1.0000000000,0.0000002103,4754832.1618992807,30.2327300000,0.8273381295,1
1.0000000000,0.0000000601,16641912.5706039593,30.2776400000,0.8273381295,1
1.0000000000,0.0000000901,11094608.3742481228,30.3225600000,0.8273381295,1
1.0000000000,0.0000000300,33283825.0858172625,30.3674700000,0.8273381295,1
10.0000000000,0.0000279415,35789.0592845767,30.2327300000,0.7374100719,1
